string_idx,string_name,string_name_x,string_name_y,string_box_idx,CB_name,Phase,string_num,string_box_v1_x,string_box_v1_y,string_box_v2_x,string_box_v2_y,string_box_v3_x,string_box_v3_y,string_box_v4_x,string_box_v4_y,num_modules,module_layout,dist_btw_v0_v1,dist_btw_v1_v2,num_module_along_x,num_module_along_y
5,1-6-NB04-16,4116.66450837771,2399.90121855843,0,0,0,0,4129.17819834929,2400.26638454605,4104.15081840613,2400.26638454605,4104.15081840613,2399.53605257082,4129.1781983493,2399.53605257082,12,L,25.027,0.73,12,1
5,1-6-NB04-16,4116.66450837771,2399.12275186122,1,0,0,0,4129.1781983493,2399.48791784883,4104.15081840613,2399.48791784883,4104.15081840613,2398.7575858736,4129.1781983493,2398.7575858736,12,L,25.027,0.73,12,1
6,1-6-NB04-1,4065.82956065385,2417.90106197412,0,0,0,0,4078.34325062544,2418.26622796174,4053.31587068227,2418.26622796174,4053.31587068227,2417.5358959865,4078.34325062544,2417.5358959865,12,L,25.027,0.73,12,1
6,1-6-NB04-1,4065.82956065385,2417.12259527691,1,0,0,0,4078.34325062544,2417.48776126452,4053.31587068227,2417.48776126452,4053.31587068227,2416.75742928929,4078.34325062544,2416.75742928929,12,L,25.027,0.73,12,1
7,1-6-NB04-2,4065.82956065385,2416.34412857969,0,0,0,0,4078.34325062544,2416.70929456731,4053.31587068227,2416.70929456731,4053.31587068227,2415.97896259207,4078.34325062544,2415.97896259207,12,L,25.027,0.73,12,1
7,1-6-NB04-2,4065.82956065385,2415.56566188247,1,0,0,0,4078.34325062544,2415.93082787009,4053.31587068227,2415.93082787009,4053.31587068227,2415.20049589486,4078.34325062544,2415.20049589486,12,L,25.027,0.73,12,1
8,1-6-NB04-3,4091.26119727491,2417.80345766167,0,0,0,0,4103.7748872465,2418.16862364928,4078.74750730333,2418.16862364928,4078.74750730333,2417.43829167405,4103.7748872465,2417.43829167405,12,L,25.027,0.73,12,1
8,1-6-NB04-3,4091.26119727491,2417.02499096445,1,0,0,0,4103.7748872465,2417.39015695207,4078.74750730333,2417.39015695207,4078.74750730333,2416.65982497683,4103.7748872465,2416.65982497683,12,L,25.027,0.73,12,1
9,1-6-NB04-4,4091.26119727491,2416.24652426724,0,0,0,0,4103.7748872465,2416.61169025485,4078.74750730333,2416.61169025485,4078.74750730333,2415.88135827962,4103.7748872465,2415.88135827962,12,L,25.027,0.73,12,1
9,1-6-NB04-4,4091.26119727491,2415.46805757002,1,0,0,0,4103.7748872465,2415.83322355764,4078.74750730333,2415.83322355764,4078.74750730333,2415.1028915824,4103.7748872465,2415.1028915824,12,L,25.027,0.73,12,1
10,1-6-NB04-5,4143.83983987622,2417.62601550066,0,0,0,0,4156.35352984781,2417.99118148828,4131.32614990464,2417.99118148827,4131.32614990464,2417.26084951304,4156.35352984781,2417.26084951304,12,L,25.027,0.73,12,1
10,1-6-NB04-5,4143.83983987622,2416.84754880344,1,0,0,0,4156.35352984781,2417.21271479106,4131.32614990464,2417.21271479106,4131.32614990464,2416.48238281583,4156.35352984781,2416.48238281583,12,L,25.027,0.73,12,1
11,1-6-NB04-6,4143.83983987622,2416.06908210623,0,0,0,0,4156.35352984781,2416.43424809384,4131.32614990464,2416.43424809384,4131.32614990464,2415.70391611861,4156.35352984781,2415.70391611861,12,L,25.027,0.73,12,1
11,1-6-NB04-6,4143.83983987622,2415.29061540901,1,0,0,0,4156.35352984781,2415.65578139663,4131.32614990464,2415.65578139663,4131.32614990464,2414.92544942139,4156.35352984781,2414.92544942139,12,L,25.027,0.73,12,1
12,1-6-NB04-7,4169.30780018084,2417.52995264348,0,0,0,0,4181.82149015243,2417.89511863109,4156.79411020926,2417.89511863109,4156.79411020926,2417.16478665586,4181.82149015243,2417.16478665586,12,L,25.027,0.73,12,1
12,1-6-NB04-7,4169.30780018084,2416.75148594626,1,0,0,0,4181.82149015243,2417.11665193388,4156.79411020926,2417.11665193388,4156.79411020926,2416.38631995865,4181.82149015243,2416.38631995865,12,L,25.027,0.73,12,1
