string_idx,string_name,string_name_x,string_name_y,string_box_idx,CB_name,Phase,string_num,string_box_v1_x,string_box_v1_y,string_box_v2_x,string_box_v2_y,string_box_v3_x,string_box_v3_y,string_box_v4_x,string_box_v4_y,num_modules,module_orientation,num_module_along_x,num_module_along_y
10,22-5,5188.35249805942,732.745842639948,0,0,0,0,5180.81185714629,733.345842639947,5180.81185714629,732.145842639948,5195.89313897255,732.145842639948,5195.89313897255,733.345842639947,340,L,1,7
10,22-5,5188.35249805942,734.04935658511,1,0,0,0,5180.81185714629,734.64935658511,5180.81185714629,733.449356585109,5195.89313897255,733.44935658511,5195.89313897255,734.649356585109,339,L,1,7
11,20-5,5228.16191073181,735.352870530272,0,0,0,0,5217.39347960199,734.752870530272,5238.93034186162,734.752870530272,5238.93034186162,735.952870530272,5217.39347960199,735.952870530272,338,L,10,1
11,20-5,5228.1619107318,736.656384475434,1,0,0,0,5217.39347960199,736.056384475435,5238.93034186162,736.056384475434,5238.93034186162,737.256384475435,5217.39347960199,737.256384475435,337,L,10,1
12,20-4,5228.16191073181,737.959898420596,0,0,0,0,5217.39347960199,737.359898420596,5238.93034186162,737.359898420596,5238.93034186162,738.559898420596,5217.39347960199,738.559898420596,336,L,10,1
12,20-4,5228.16191073181,739.263412365759,1,0,0,0,5217.39347960199,738.663412365759,5238.93034186162,738.663412365758,5238.93034186162,739.863412365759,5217.39347960199,739.863412365759,335,L,10,1
13,20-2,5206.64330928727,735.352870530272,0,0,0,0,5195.87487815746,734.752870530272,5217.41174041709,734.752870530272,5217.41174041709,735.952870530272,5195.87487815746,735.952870530272,334,L,10,1
13,20-2,5206.64330928727,736.656384475434,1,0,0,0,5195.87487815746,736.056384475434,5217.41174041709,736.056384475433,5217.41174041709,737.256384475434,5195.87487815746,737.256384475435,333,L,10,1
14,20-1,5206.64330928727,737.959898420596,0,0,0,0,5195.87487815746,737.359898420596,5217.41174041709,737.359898420595,5217.41174041709,738.559898420596,5195.87487815746,738.559898420596,332,L,10,1
14,20-1,5206.64330928727,739.263412365759,1,0,0,0,5195.87487815746,738.663412365759,5217.41174041709,738.663412365758,5217.41174041709,739.863412365758,5195.87487815746,739.863412365759,331,L,10,1
15,22-3,5190.50435820387,735.352870530272,0,0,0,0,5185.11557743519,734.752870530273,5195.89313897255,734.752870530272,5195.89313897255,735.952870530272,5185.11557743519,735.952870530271,330,L,5,1
15,22-3,5190.50435820387,736.656384475434,1,0,0,0,5185.11557743519,736.056384475434,5195.89313897255,736.056384475433,5195.89313897255,737.256384475434,5185.11557743519,737.256384475434,329,L,5,1
15,22-3,5190.50435820387,737.959898420596,2,0,0,0,5185.11557743519,737.359898420595,5195.89313897255,737.359898420596,5195.89313897255,738.559898420596,5185.11557743519,738.559898420596,328,L,5,1
15,22-3,5190.50435820387,739.263412365758,3,0,0,0,5185.11557743519,738.663412365758,5195.89313897255,738.663412365759,5195.89313897255,739.863412365758,5185.11557743519,739.863412365758,327,L,5,1
16,19-9,5228.16191073181,740.928150918955,0,0,0,0,5217.39347960199,740.328150918956,5238.93034186162,740.328150918956,5238.93034186162,741.528150918955,5217.39347960199,741.528150918955,326,L,10,1
